"distance[mm]","cube flux density [T]",small cylinder flux density [T],big cylinder flux density [T]
0,0.048,0.1,0.125
1,0.08,0.033,0.088
2,0.036,0.017,0.031
3,0.03,0.012,0.018
4,0.021,0.01,0.016
5,0.016,0.009,0.011
6,0.014,0.009,0.01
7,0.012,0.008,0.009
8,0.01,0.008,0.009
9,0.009,,0.008
10,0.009,,0.008
